"name","address","lat","lng","tel","website","google_url","google_rating","google_reviews_count","opening_hours","yelp_rating","yelp_review_count","yelp_url","is_listed_yelp","is_claimed_yelp"
"Affordable Automotive","2445 Castleton Commerce Way Virginia Beach",36.7786255,-76.0410947,"+1 757-803-3909",NA,"https://maps.google.com/?cid=5783179678959022811",NA,0,NA,NA,NA,NA,0,0
"First Landing Auto Care","2900 Shore Drive Virginia Beach",36.911663,-76.071744,"+1 757-481-6549","http://www.firstlandingautocare.com/","https://maps.google.com/?cid=11350193045211375867",4.7,5,"Monday: 8:00 AM – 5:00 PM/ Tuesday: 8:00 AM – 5:00 PM/ Wednesday: 8:00 AM – 5:00 PM/ Thursday: 8:00 AM – 5:00 PM/ Friday: 8:00 AM – 5:00 PM/ Saturday: Closed/ Sunday: Closed/",4,15,"https://www.yelp.com/biz/first-landing-auto-care-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Honda of Virginia Beach","2976 Virginia Beach Boulevard Virginia Beach",36.844216,-76.07581,"+1 757-340-6161","http://www.hondabeach.com/","https://maps.google.com/?cid=3268229611320249364",3.4,5,"Monday: 10:00 AM – 6:00 PM/ Tuesday: 10:00 AM – 6:00 PM/ Wednesday: 10:00 AM – 6:00 PM/ Thursday: 10:00 AM – 6:00 PM/ Friday: 10:00 AM – 6:00 PM/ Saturday: 9:00 AM – 5:00 PM/ Sunday: Closed/",1.5,5,"https://www.yelp.com/biz/honda-of-virginia-beach-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,0
"Japanese Auto Masters","3012 Holland Road Virginia Beach",36.78311,-76.076294,"+1 757-468-1333","http://www.japaneseautomasters.com/","https://maps.google.com/?cid=9424121103997949335",4.9,5,"Monday: 7:30 AM – 5:00 PM/ Tuesday: 7:30 AM – 5:00 PM/ Wednesday: 7:30 AM – 5:00 PM/ Thursday: 7:30 AM – 5:00 PM/ Friday: 7:30 AM – 5:00 PM/ Saturday: Closed/ Sunday: Closed/",4.5,27,"https://www.yelp.com/biz/japanese-auto-masters-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"17th Street Automotive","312 Virginia Beach Boulevard Virginia Beach",36.845279,-75.976431,"+1 757-425-8917",NA,"https://maps.google.com/?cid=5202270304286840753",3.8,5,"Monday: 6:30 AM – 9:00 PM/ Tuesday: 6:30 AM – 9:00 PM/ Wednesday: 6:30 AM – 9:00 PM/ Thursday: 6:30 AM – 9:00 PM/ Friday: 6:30 AM – 9:00 PM/ Saturday: 7:00 AM – 10:00 PM/ Sunday: 7:00 AM – 10:00 PM/",4.5,7,"https://www.yelp.com/biz/17th-street-automotive-virginia-beach-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Motor Sports World","43 Roydon Place Nepean",45.3391793,-75.7232497,"+1 613-225-2892","http://www.motorsportsworld.com/","https://maps.google.com/?cid=10091033712717597516",3.9,5,"Monday: 9:00 AM – 6:00 PM/ Tuesday: 9:00 AM – 6:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 8:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 5:00 PM/ Sunday: Closed/",4.5,2,"https://www.yelp.com/biz/motor-sports-world-ottawa-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Motorsports International","444 Washington Street Auburn",42.1929742,-71.824775,"+1 508-832-9494","http://www.motorsportsint.com/","https://maps.google.com/?cid=10920644914366383687",4.1,5,"Monday: 9:00 AM – 6:00 PM/ Tuesday: 9:00 AM – 6:00 PM/ Wednesday: Closed/ Thursday: 9:00 AM – 6:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 4:00 PM/ Sunday: Closed/",3.5,13,"https://www.yelp.com/biz/motorsports-international-auburn-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Souhegan Valley Motorsports","459 South ST. Route 13 Milford",42.8137295,-71.647446,"+1 603-673-6007","http://www.souheganvalleymotorsports.com/","https://maps.google.com/?cid=10371242956996964491",4.6,5,"Monday: Closed/ Tuesday: 9:00 AM – 6:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 7:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 4:00 PM/ Sunday: Closed/",5,6,"https://www.yelp.com/biz/souhegan-valley-motorsports-milford?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Bayside Automotive","495 London Bridge Road # 103 Virginia Beach",36.8272171,-76.0538611,"+1 757-463-0057",NA,"https://maps.google.com/?cid=17264250437514329310",5,5,NA,5,1,"https://www.yelp.com/biz/bayside-automotive-virginia-beach-3?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,0
"Nobel Auto","545 South Birdneck Road suite 101 Virginia Beach",36.823576,-76.000441,"+1 757-416-7626","http://nobelauto.com/","https://maps.google.com/?cid=9254446810779800917",5,2,"Monday: 9:00 AM – 5:00 PM/ Tuesday: 9:00 AM – 5:00 PM/ Wednesday: 9:00 AM – 5:00 PM/ Thursday: 9:00 AM – 5:00 PM/ Friday: 9:00 AM – 5:00 PM/ Saturday: Closed/ Sunday: Closed/",NA,NA,NA,0,0
"Green Devil Garage","553 South Birdneck Road #209 Virginia Beach",36.822875,-76.001057,"+1 757-995-7288","http://www.greendevilgarage.com/","https://maps.google.com/?cid=8549282167258578563",4.8,5,"Monday: 10:00 AM – 6:00 PM/ Tuesday: 10:00 AM – 6:00 PM/ Wednesday: 10:00 AM – 6:00 PM/ Thursday: 10:00 AM – 6:00 PM/ Friday: 10:00 AM – 6:00 PM/ Saturday: 10:00 AM – 2:00 PM/ Sunday: Closed/",4.5,11,"https://www.yelp.com/biz/green-devil-garage-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"East Coast Motorsports LLC","561 North Main Street C Bristol",41.6830858,-72.9481082,"+1 860-585-8946","http://eastcoastmotorsportsct.com/","https://maps.google.com/?cid=17991419642724785645",3.7,3,"Monday: 8:00 AM – 6:00 PM/ Tuesday: 8:00 AM – 6:00 PM/ Wednesday: 8:00 AM – 6:00 PM/ Thursday: 8:00 AM – 6:00 PM/ Friday: 8:00 AM – 6:00 PM/ Saturday: 8:00 AM – 1:00 PM/ Sunday: Closed/",5,2,"https://www.yelp.com/biz/eastcoast-motorsports-bristol?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"LMN Motorsports","567 Central Drive #105 Virginia Beach",36.821909,-76.0611289,"+1 757-233-0558","http://www.pcarshops.com/virginia/lmn-motorsports","https://maps.google.com/?cid=10210443360190602529",4.7,5,"Monday: 8:44 AM – 5:30 PM/ Tuesday: 8:44 AM – 5:30 PM/ Wednesday: 8:44 AM – 5:30 PM/ Thursday: 8:44 AM – 5:30 PM/ Friday: 8:44 AM – 5:30 PM/ Saturday: 8:44 AM – 5:30 PM/ Sunday: Closed/",5,6,"https://www.yelp.com/biz/lmn-motorsports-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Venom Motorsports Canada","6820 McKeown Drive Greely",45.2565649,-75.5763673,"+1 855-984-1612","http://www.venommotorsportscanada.com/","https://maps.google.com/?cid=10193900606332348254",4.2,5,"Monday: 9:00 AM – 7:00 PM/ Tuesday: 9:00 AM – 7:00 PM/ Wednesday: 9:00 AM – 7:00 PM/ Thursday: 9:00 AM – 7:00 PM/ Friday: 9:00 AM – 7:00 PM/ Saturday: 9:00 AM – 7:00 PM/ Sunday: Closed/",NA,NA,NA,0,0
"Wagner Motorsports International","700 Plantation Street Worcester",42.299257,-71.761698,"+1 508-581-5950","http://www.wagnermotorsport.com/","https://maps.google.com/?cid=11326653041731530525",3.8,5,"Monday: Closed/ Tuesday: 9:00 AM – 6:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 6:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 4:00 PM/ Sunday: Closed/",3.5,11,"https://www.yelp.com/biz/wagner-motorsports-worcester?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
